last_seen,bike_id
2025-12-11T11:01:10.610523,bike_61803
2025-12-11T11:01:10.492448,bike_79530
2025-12-11T11:01:09.544181,bike_58357
2025-12-11T11:01:09.670547,bike_60518
2025-12-11T11:01:08.124262,bike_46352
2025-12-11T11:01:08.653094,bike_02476
2025-12-11T11:01:08.904133,bike_53311
2025-12-11T11:01:13.893717,bike_81881
2025-12-11T11:01:15.544207,bike_62836
2025-12-11T11:01:09.210617,bike_16233
2025-12-03T23:01:08.200763,bike_68050
2025-12-11T11:01:07.684163,bike_79557
2025-12-11T11:01:11.590655,bike_09651
2025-12-11T11:01:06.592697,bike_45747
2025-12-11T11:01:11.524221,bike_77853
2025-12-11T11:01:10.433580,bike_85314
2025-12-11T11:01:16.010671,bike_81135
2025-12-11T11:01:13.530646,bike_03766
2025-12-11T11:01:06.494829,bike_45159
2025-12-11T11:01:08.944054,bike_51273
2025-12-11T11:01:07.173306,bike_81655
2025-12-11T11:01:10.131153,bike_71629
2025-12-11T11:01:06.384135,bike_85337
2025-12-11T11:01:16.272668,bike_30279
2025-12-11T11:01:07.970119,bike_76870
2025-12-11T11:01:16.033973,bike_46694
2025-12-11T11:01:15.192940,bike_45329
2025-12-11T11:01:09.693425,bike_44104
2025-12-11T11:01:09.492641,bike_80614
2025-12-11T11:01:09.370826,bike_61860
2025-12-11T11:01:12.533218,bike_08475
2025-12-11T11:01:16.250970,bike_77359
2025-12-11T11:01:12.404111,bike_58832
2025-12-11T11:01:12.733562,bike_25751
2025-12-11T11:01:08.371121,bike_78083
2025-12-11T11:01:08.473394,bike_88973
2025-12-11T11:01:12.944277,bike_17007
2025-12-11T11:01:13.452781,bike_47665
2025-12-11T11:01:06.944182,bike_52794
2025-12-11T11:01:15.953184,bike_88574
2025-12-11T11:01:14.870432,bike_44498
2025-12-11T11:01:14.984262,bike_24822
2025-12-11T11:01:13.653533,bike_42832
2025-12-11T11:01:12.131881,bike_72724
2025-12-11T11:01:15.993491,bike_74139
2025-12-11T11:01:10.413563,bike_77785
2025-12-11T11:01:06.932367,bike_68622
2025-12-11T11:01:15.104206,bike_52938
2025-12-11T11:01:10.684129,bike_23633
2025-12-11T05:01:04.841972,bike_81236
2025-12-04T05:01:05.482822,bike_88563
2025-12-11T11:01:11.590641,bike_62505
2025-12-11T11:01:10.831041,bike_42737
2025-12-11T11:01:15.010898,bike_17838
2025-12-11T11:01:13.489470,bike_62022
2025-12-11T05:01:11.782066,bike_73711
2025-12-11T11:01:11.173212,bike_07419
2025-12-11T11:01:06.170035,bike_85160
